# y_true, y_pred
1.000000,-0.400680
1.000000,-0.408836
1.000000,-0.438836
1.000000,-0.401003
1.000000,-0.424736
1.000000,-0.434346
1.000000,-0.448667
1.000000,-0.385812
1.000000,-0.444026
1.000000,-0.393384
1.000000,-0.409988
1.000000,-0.422655
1.000000,-0.403718
1.000000,-0.501269
1.000000,-0.478021
1.000000,-0.409234
1.000000,-0.442718
1.000000,-0.408448
1.000000,-0.421636
1.000000,-0.404323
1.000000,-0.405437
1.000000,-0.381513
1.000000,-0.393158
1.000000,-0.417177
1.000000,-0.436489
1.000000,-0.455789
1.000000,-0.407444
1.000000,-0.433106
1.000000,-0.411143
1.000000,-0.399244
1.000000,-0.397060
1.000000,-0.413017
1.000000,-0.437762
1.000000,-0.400441
1.000000,-0.416803
1.000000,-0.382182
1.000000,-0.403635
1.000000,-0.425283
1.000000,-0.382624
1.000000,-0.389307
1.000000,-0.385573
1.000000,-0.403133
1.000000,-0.374951
1.000000,-0.377712
1.000000,-0.403880
1.000000,-0.376594
1.000000,-0.368206
1.000000,-0.381555
1.000000,-0.422031
1.000000,-0.380649
1.000000,-0.388093
1.000000,-0.427403
1.000000,-0.382769
1.000000,-0.403682
1.000000,-0.392018
1.000000,-0.383258
1.000000,-0.418360
1.000000,-0.408215
1.000000,-0.505296
1.000000,-0.409127
1.000000,-0.407230
1.000000,-0.401214
1.000000,-0.453838
1.000000,-0.378218
1.000000,-0.443748
1.000000,-0.466089
1.000000,-0.395112
1.000000,-0.391807
1.000000,-0.395443
1.000000,-0.394241
1.000000,-0.395388
1.000000,-0.398414
1.000000,-0.405222
1.000000,-0.450908
1.000000,-0.418900
1.000000,-0.413360
1.000000,-0.436700
1.000000,-0.424506
1.000000,-0.408157
1.000000,-0.392963
1.000000,-0.399674
1.000000,-0.377999
1.000000,-0.395652
1.000000,-0.390019
1.000000,-0.387832
1.000000,-0.383872
1.000000,-0.408265
1.000000,-0.402111
1.000000,-0.396153
1.000000,-0.422617
1.000000,-0.417785
1.000000,-0.468294
1.000000,-0.379940
1.000000,-0.408019
1.000000,-0.421211
1.000000,-0.392003
1.000000,-0.498422
1.000000,-0.379094
1.000000,-0.395748
1.000000,-0.397981
1.000000,-0.417648
1.000000,-0.425927
1.000000,-0.410240
1.000000,-0.391263
1.000000,-0.394528
1.000000,-0.407810
1.000000,-0.433646
1.000000,-0.384253
1.000000,-0.385978
1.000000,-0.399452
1.000000,-0.383194
1.000000,-0.414719
1.000000,-0.398795
1.000000,-0.427074
1.000000,-0.407567
1.000000,-0.401191
1.000000,-0.388155
1.000000,-0.406648
1.000000,-0.374090
1.000000,-0.381853
1.000000,-0.386367
1.000000,-0.438223
1.000000,-0.410663
1.000000,-0.403173
1.000000,-0.402190
1.000000,-0.388435
1.000000,-0.393469
1.000000,-0.386624
1.000000,-0.385757
1.000000,-0.376896
1.000000,-0.423421
1.000000,-0.379221
1.000000,-0.397606
1.000000,-0.411007
1.000000,-0.412583
1.000000,-0.396769
1.000000,-0.397784
1.000000,-0.394268
1.000000,-0.421513
1.000000,-0.415128
1.000000,-0.404957
1.000000,-0.384387
1.000000,-0.397426
1.000000,-0.394988
1.000000,-0.393453
1.000000,-0.407155
1.000000,-0.402875
1.000000,-0.385413
1.000000,-0.440141
1.000000,-0.417312
1.000000,-0.431391
1.000000,-0.434910
1.000000,-0.406715
1.000000,-0.427315
1.000000,-0.402076
1.000000,-0.413175
1.000000,-0.377573
1.000000,-0.391588
1.000000,-0.388048
1.000000,-0.393088
1.000000,-0.465028
1.000000,-0.419627
1.000000,-0.387453
1.000000,-0.405957
1.000000,-0.388499
1.000000,-0.376571
1.000000,-0.398351
1.000000,-0.420400
1.000000,-0.435055
1.000000,-0.384596
1.000000,-0.395679
1.000000,-0.409096
1.000000,-0.388242
1.000000,-0.388604
1.000000,-0.418854
1.000000,-0.418717
1.000000,-0.390153
